,12CO(K km/s),21cm(K),proto_flat_number
0,,18.298694610595703,6.0
1,,23.062265396118164,3.0
2,1.257737159729004,14.927851676940918,3.0
3,6.872767925262451,12.604801177978516,1.0
4,0.6167499423027039,10.279691696166992,0.0
5,,9.581038475036621,0.0
6,,10.988778114318848,0.0
7,,22.61241912841797,6.0
8,1.8567821979522705,29.544397354125977,5.0
9,3.55190110206604,19.64862632751465,7.0
10,1.9947751760482788,15.061070442199707,12.0
11,1.0354602336883545,12.336997032165527,0.0
12,,9.857983589172363,0.0
13,,8.814948081970215,0.0
14,,24.166828155517578,33.0
15,3.225581407546997,23.003414154052734,20.0
16,1.282781720161438,15.655736923217773,22.0
17,1.1244707107543945,13.182065963745117,1.0
18,0.413413941860199,12.46931266784668,0.0
19,0.6583257913589478,11.318258285522461,0.0
20,0.2071215808391571,8.055683135986328,0.0
21,,19.03155517578125,20.0
22,6.13979434967041,17.214017868041992,39.0
23,1.9998652935028076,18.295207977294922,23.0
24,0.5230221152305603,13.78249740600586,3.0
25,2.737947463989258,14.314290046691895,0.0
26,1.4275856018066406,16.66831398010254,0.0
27,1.652198314666748,8.57534122467041,0.0
28,,17.082019805908203,21.0
29,1.4632503986358643,17.74830436706543,8.0
30,5.882566452026367,21.594070434570312,25.0
31,9.217491149902344,21.756324768066406,24.0
32,5.506906986236572,13.415506362915039,6.0
33,2.583125591278076,12.478484153747559,0.0
34,0.6668465733528137,8.778969764709473,0.0
35,,13.02277946472168,8.0
36,3.953169584274292,12.007514953613281,2.0
37,8.898359298706055,18.824352264404297,22.0
38,17.9869327545166,25.36442756652832,57.0
39,2.5506889820098877,11.571167945861816,7.0
40,,9.384367942810059,0.0
41,,9.004439353942871,0.0
42,,10.61054801940918,3.0
43,1.2453469038009644,9.943192481994629,1.0
44,1.436470627784729,11.233647346496582,0.0
45,7.584892272949219,18.100366592407227,19.0
46,4.224708557128906,12.82878589630127,7.0
47,,9.551334381103516,0.0
48,,9.365131378173828,0.0
