,Unnamed: 0_x,ID_x,RAJ2000,DecJ2000,Distance,Vc,Mass,Momentum,Energy,Dynamical Time,Cloud_Mass,Cloud_Energy,Energy_(of/cloud+of),Unnamed: 0_y,ID_y,RA_proto,Dec_proto,Dist_proto,logL_proto,alpha_proto
34,48,G81.462+0.736,309.348,42.27,1.3,17.4,0.0,0.0,0.0,14.6,107.8466932,16.86320004,0.0,34,b'G81.462+0.736',309.35,42.248999999999995,76.0,0.2,0.7
35,49,G80.916+0.331,309.356,41.594,1.5,-1.3,0.72,2.42,1.01,15.6,62.18381137,9.208798714,0.098488306,35,b'G80.916+0.331',309.358,41.595,8.0,1.7,0.1
36,50,G81.437+0.728,309.357,42.252,1.5,-1.3,1.44,4.37,1.54,7.4,290.1851892,42.44570684,0.035065807000000004,36,b'G81.437+0.728',309.35,42.248999999999995,27.0,0.2,0.7
37,51,G81.460+0.735,309.363,42.272,1.5,-1.3,16.79,94.83,58.32,13.1,316.52809229999997,26.28920641,0.689299608,37,b'G81.460+0.735',309.375,42.277,47.0,0.2,0.8
38,52,NA (name 8.a),309.378,42.232,1.5,0.0,8.94,36.78,15.76,15.1,445.50040189999993,52.21450659,0.23181177600000002,38,b'NA (name 8.a)',309.377,42.233000000000004,5.0,2.0,1.2
39,53,NA (name 8.b),309.39,42.226,1.5,0.0,26.4,97.41,37.96,16.1,432.84917530000007,44.05450089,0.462846716,39,b'NA (name 8.b)',309.383,42.217,41.0,2.1,1.7
40,54,G81.794+0.910,309.445,42.64,1.5,-0.4,1.7,5.49,2.1,26.2,91.05245888,14.41722719,0.126969837,40,b'G81.794+0.910',309.447,42.645,19.0,2.1,1.5
41,55,G81.861+0.959,309.45,42.726,1.5,-0.8,0.24,0.74,0.26,11.8,46.5604924,7.359791182,0.034726376,41,b'G81.861+0.959',309.45099999999996,42.722,15.0,-0.2,0.3
42,56,G81.813+0.919,309.451,42.662,1.5,-0.8,0.11,0.63,0.4,6.6,92.17137293,24.55459261,0.016035576,42,b'G81.813+0.919',309.434,42.66,62.0,-0.4,0.3
43,58,G81.857+0.905,309.5,42.691,1.5,-3.0,0.35,1.76,1.03,8.3,79.78485034,19.79427229,0.049543341,43,b'G81.857+0.905',309.497,42.675,59.0,0.9,1.7
44,59,G81.831+0.880,309.51,42.652,1.5,-2.1,1.29,5.46,2.47,10.5,308.56224199999997,66.87276948,0.035648191,44,b'G81.831+0.880',309.51599999999996,42.659,33.0,1.5,1.0
45,60,G81.634+0.726,309.512,42.407,1.3,8.5,0.37,1.18,0.43,4.0,39.05933863,2.650346876,0.138850773,45,b'G81.634+0.726',309.514,42.406000000000006,8.0,0.8,0.2
46,61,G81.867+0.780,309.637,42.645,1.3,10.6,14.34,50.18,19.73,23.0,452.2908675,202.0919843,0.08896058800000001,46,b'G81.867+0.780',309.632,42.643,19.0,0.6,0.9
47,62,G81.773+0.687,309.674,42.484,1.5,-3.8,0.78,1.83,0.47,25.2,120.2522582,8.734462784,0.051378794000000005,47,b'G81.773+0.687',309.683,42.483999999999995,32.0,0.1,1.2
48,63,G81.681+0.540,309.72,42.316,1.5,-3.0,11.92,145.99,193.03,4.1,1733.4422829999999,4208.359752,0.043857182,48,b'G81.681+0.540',309.743,42.316,83.0,2.1,1.6
49,64,,309.752,42.32,1.5,0.0,33.57,341.27,382.34,3.6,2895.992338,6369.886859,0.056623699000000006,49,b'0',309.743,42.316,35.0,2.1,1.6
50,65,G81.663+0.468,309.82,42.278,1.3,19.9,1.71,8.62,4.65,1.6,78.48485378,30.27532341,0.13319277599999998,50,b'G81.663+0.468',309.82,42.269,32.0,2.4,-0.1
51,66,0,309.856,41.328,1.5,-1.4,11.94,27.88,6.83,19.8,1091.152,108.336,0.05931386599999999,51,b'0',309.86400000000003,41.31399999999999,58.0,1.7,0.8
52,67,0,309.873,41.368,1.5,-1.1,0.98,2.65,1.04,21.6,468.39099999999996,42.646,0.023739212000000003,52,b'0',309.878,41.36600000000001,19.0,0.5,0.3
53,68,0,309.88,41.364,1.5,-2.5,5.5,10.69,2.51,31.5,631.369,63.063,0.038336612,53,b'0',309.878,41.36600000000001,10.0,0.5,0.3
54,69,0,309.882,41.337,1.5,-2.2,2.0,7.43,2.84,5.2,947.5139999999999,110.024,0.025171665,54,b'0',309.881,41.333999999999996,11.0,1.6,0.9
55,70,0,309.898,41.328,1.5,-2.8,2.87,8.15,2.57,15.7,474.46,52.169,0.046880424000000004,55,b'0',309.9,41.323,19.0,1.3,0.2
56,71,G81.117-0.140,310.017,41.465,1.5,-4.2,2.17,6.74,2.72,22.1,104.80547920000001,16.05345252,0.145055138,56,b'G81.117-0.140',310.017,41.458999999999996,22.0,2.0,0.3
57,72,G81.175-0.100,310.022,41.538,1.5,-3.8,0.72,2.59,1.08,10.7,73.04177358,11.57245014,0.085596735,57,b'G81.175-0.100',310.02299999999997,41.537,5.0,1.5,2.3
58,74,G81.551+0.098,310.118,41.952,1.5,-5.9,4.29,17.36,7.89,8.7,139.24601090000002,19.4356735,0.288745426,58,b'G81.551+0.098',310.119,41.953,5.0,2.0,1.6
59,75,G81.450+0.016,310.127,41.822,1.5,-4.7,2.93,8.41,2.64,9.4,307.1704117,65.66650562,0.038673109,59,b'G81.450+0.016',310.13,41.825,15.0,0.5,1.8
60,76,G81.476+0.020,310.138,41.852,1.5,-4.7,2.55,6.9,2.19,18.8,756.679501,124.81542830000001,0.017266845,60,b'G81.476+0.020',310.132,41.846000000000004,31.0,0.1,0.5
61,77,G81.582+0.104,310.14,41.983,1.5,-5.9,2.35,14.22,9.75,9.4,245.56190619999998,34.03589628,0.222696123,61,b'G81.582+0.104',310.139,41.983999999999995,5.0,1.0,1.9
62,78,G81.317-0.103,310.142,41.65,1.5,-5.1,0.29,1.13,0.51,12.6,62.63764802,9.709508909,0.049694330999999994,62,b'G81.317-0.103',310.145,41.646,18.0,0.7,2.1
63,79,G81.632+0.102,310.185,42.025,1.5,-6.8,1.85,3.95,0.95,20.4,290.15054810000004,15.10271497,0.059277995,63,b'G81.632+0.102',310.188,42.043,66.0,0.5,0.1
64,80,new?,310.639,42.463,1.3,8.1,0.03,0.24,0.25,2.4,26.90239719,21.44308157,0.011364067,64,b'new?',310.643,42.458999999999996,20.0,1.8,2.1
65,82,G82.581+0.203,310.867,42.833,1.3,11.1,2.43,15.6,12.5,4.5,98.99523077,31.00702669,0.287257119,65,b'G82.581+0.203',310.868,42.817,58.0,2.3,0.8
66,83,G82.571+0.194,310.868,42.816,1.3,11.1,0.14,0.45,0.16,9.6,94.27935047,17.57145564,0.008815591999999999,66,b'G82.571+0.194',310.868,42.817,4.0,2.3,0.8
