,ID,RAJ2000,DecJ2000,Distance,Vc,Mass,Momentum,Energy,Dynamical Time,Cloud_Mass,Cloud_Energy,Energy_(of/cloud+of)
57,G81.770+0.851,309.486,42.597,1.5,-0.4,0.52,1.3,0.41,27.3,63.06238089,2.148515566,0.160475338
58,G81.857+0.905,309.5,42.691,1.5,-3,0.35,1.76,1.03,8.3,79.78485034,19.79427229,0.049543341
59,G81.831+0.880,309.51,42.652,1.5,-2.1,1.29,5.46,2.47,10.5,308.562242,66.87276948,0.035648191
60,G81.634+0.726,309.512,42.407,1.3,8.5,0.37,1.18,0.43,4,39.05933863,2.650346876,0.138850773
61,G81.867+0.780,309.637,42.645,1.3,10.6,14.34,50.18,19.73,23,452.2908675,202.0919843,0.088960588
62,G81.773+0.687,309.674,42.484,1.5,-3.8,0.78,1.83,0.47,25.2,120.2522582,8.734462784,0.051378794
63,G81.681+0.540,309.72,42.316,1.5,-3,11.92,145.99,193.03,4.1,1733.442283,4208.359752,0.043857182
64,NA,309.752,42.32,1.5,0,33.57,341.27,382.34,3.6,2895.992338,6369.886859,0.056623699
65,G81.663+0.468,309.82,42.278,1.3,19.9,1.71,8.62,4.65,1.6,78.48485378,30.27532341,0.133192776
66,0,309.856,41.328,1.5,-1.4,11.94,27.88,6.83,19.8,1091.152,108.336,0.059313866
67,0,309.873,41.368,1.5,-1.1,0.98,2.65,1.04,21.6,468.391,42.646,0.023739212
68,0,309.88,41.364,1.5,-2.5,5.5,10.69,2.51,31.5,631.369,63.063,0.038336612
69,0,309.882,41.337,1.5,-2.2,2,7.43,2.84,5.2,947.514,110.024,0.025171665
70,0,309.898,41.328,1.5,-2.8,2.87,8.15,2.57,15.7,474.46,52.169,0.046880424
71,G81.117-0.140,310.017,41.465,1.5,-4.2,2.17,6.74,2.72,22.1,104.8054792,16.05345252,0.145055138
72,G81.175-0.100,310.022,41.538,1.5,-3.8,0.72,2.59,1.08,10.7,73.04177358,11.57245014,0.085596735
73,G81.559+0.183,310.044,42.016,1.3,9.3,0.29,0.87,0.32,14.3,34.20436201,4.267102728,0.06933451
74,G81.551+0.098,310.118,41.952,1.5,-5.9,4.29,17.36,7.89,8.7,139.2460109,19.4356735,0.288745426
75,G81.450+0.016,310.127,41.822,1.5,-4.7,2.93,8.41,2.64,9.4,307.1704117,65.66650562,0.038673109
76,G81.476+0.020,310.138,41.852,1.5,-4.7,2.55,6.9,2.19,18.8,756.679501,124.8154283,0.017266845
77,G81.582+0.104,310.14,41.983,1.5,-5.9,2.35,14.22,9.75,9.4,245.5619062,34.03589628,0.222696123
78,G81.317-0.103,310.142,41.65,1.5,-5.1,0.29,1.13,0.51,12.6,62.63764802,9.709508909,0.049694331
79,G81.632+0.102,310.185,42.025,1.5,-6.8,1.85,3.95,0.95,20.4,290.1505481,15.10271497,0.059277995
80,new?,310.639,42.463,1.3,8.1,0.03,0.24,0.25,2.4,26.90239719,21.44308157,0.011364067
81,G82.189-0.042,310.813,42.374,0.65,7.2,0.18,0.55,0.24,8.5,3.525396096,1.546235112,0.136168525
82,G82.581+0.203,310.867,42.833,1.3,11.1,2.43,15.6,12.5,4.5,98.99523077,31.00702669,0.287257119
83,G82.571+0.194,310.868,42.816,1.3,11.1,0.14,0.45,0.16,9.6,94.27935047,17.57145564,0.008815592
